,src,dest,overlap,distance,total_border,greatest_border,nb_border
0,109,33,0,0.0,626.0088973952668,626.0088973952668,1
1,109,83,0,0.0,604.7478417026916,604.7478417026916,1
2,109,205,0,0.0,124.58084925119132,124.58084925119132,1
3,109,661,0,0.0,1842.1352349694027,1842.1352349694027,1
4,109,691,0,0.0,632.9448497980809,632.9448497980809,1
0,110,30,0,0.0,599.8614192466221,599.8614192466221,1
1,110,91,0,0.0,1000.4229649660201,1000.4229649660201,1
2,110,661,0,0.0,348.34654081853887,348.34654081853887,1
3,110,680,0,0.0,833.6908391295212,833.6908391295212,1
0,111,7,0,0.0,1166.2477730854062,1166.2477730854062,1
1,111,35,0,0.0,590.347675074891,590.347675074891,1
2,111,93,0,0.0,313.0327250722105,313.0327250722105,1
3,111,167,0,0.0,1000.4257912735218,1000.4257912735218,1
0,112,38,0,0.0,391.637736943411,391.637736943411,1
1,112,141,0,0.0,1537.4104295838195,1537.4104295838195,1
2,112,662,0,0.0,677.6552037642026,677.6552037642026,1
0,113,10,0,0.0,1923.4556418641241,1136.494203781357,2
1,113,158,0,0.0,172.43827819673334,172.43827819673334,1
0,114,174,0,0.0,74.62653281526121,74.62653281526121,1
1,114,661,0,0.0,1534.3244889125576,1534.3244889125576,1
2,114,680,0,0.0,2268.1713843462867,2268.1713843462867,1
0,115,72,0,0.0,1288.3584145024615,1288.3584145024615,1
1,115,662,0,0.0,1150.452347092269,1150.452347092269,1
0,116,189,0,0.0,2752.9880076578993,2752.9880076578993,1
1,116,661,0,0.0,751.5480061455775,751.5480061455775,1
0,117,9,0,0.0,219.6993548012902,219.6993548012902,1
1,117,189,0,0.0,2999.0090645557066,2567.9296405299838,2
2,117,661,0,0.0,1550.71125185151,1550.71125185151,1
0,118,46,0,0.0,691.9319482265939,691.9319482265939,1
1,118,50,0,0.0,380.42617897008535,380.42617897008535,1
2,118,143,0,0.0,1461.5393812847435,1461.5393812847435,1
3,118,662,0,0.0,1623.6998715240547,1623.6998715240547,1
0,119,12,0,0.0,813.3650568539841,813.3650568539841,1
1,119,49,0,0.0,995.949437396728,995.949437396728,1
2,119,145,0,0.0,639.0397459438875,639.0397459438875,1
3,119,186,0,0.0,187.7048961843482,187.7048961843482,1
4,119,679,0,0.0,1046.9225861694877,539.4220472583771,2
0,120,189,0,0.0,1567.9861677536837,1567.9861677536837,1
1,120,661,0,0.0,891.6967151334952,891.6967151334952,1
0,121,52,0,0.0,548.4140232544546,548.4140232544546,1
1,121,53,0,0.0,1485.1761596551528,1485.1761596551528,1
2,121,70,0,0.0,729.1474212874407,729.1474212874407,1
3,121,661,0,0.0,2156.776942118748,2156.776942118748,1
0,122,161,0,0.0,515.4289552250763,515.4289552250763,1
1,122,189,0,0.0,1468.960835726999,1468.960835726999,1
0,123,63,0,0.0,3757.362000245807,3757.362000245807,1
1,123,102,0,0.0,497.3442640540222,497.3442640540222,1
0,124,662,0,0.0,2005.273661524996,2005.273661524996,1
0,125,22,0,0.0,3304.428144409279,3304.428144409279,1
1,125,70,0,0.0,2330.8347919688704,2330.8347919688704,1
2,125,208,0,0.0,4955.805361168301,4955.805361168301,1
3,125,667,0,0.0,1077.3708570040167,1077.3708570040167,1
0,126,63,0,0.0,2281.3737705758954,2281.3737705758954,1
1,126,70,0,0.0,417.8992357178222,417.8992357178222,1
2,126,209,0,0.0,971.6879964851857,971.6879964851857,1
3,126,661,0,0.0,2287.9038179601307,1803.2581229303332,2
0,127,20,0,0.0,373.3079939951056,373.3079939951056,1
1,127,73,0,0.0,1065.2646837127024,1065.2646837127024,1
2,127,162,0,0.0,929.751312954895,929.751312954895,1
3,127,666,0,0.0,2147.509829108017,2147.509829108017,1
4,127,679,0,0.0,3517.749717740454,1962.6040737955298,2
5,127,690,0,0.0,0.0,0.0,0
0,128,173,0,0.0,466.50406652312233,466.50406652312233,1
1,128,190,0,0.0,392.0756910051856,392.0756910051856,1
2,128,192,0,0.0,1808.8045693680015,1808.8045693680015,1
3,128,193,0,0.0,3570.3501241188196,3570.3501241188196,1
4,128,658,0,0.0,345.875559996857,345.875559996857,1
5,128,679,0,0.0,493.8599459082135,361.63601832120605,2
0,129,64,0,0.0,394.5022129878247,394.5022129878247,1
1,129,103,0,0.0,895.9511904926451,895.9511904926451,1
2,129,153,0,0.0,1553.5488015549015,1553.5488015549015,1
3,129,661,0,0.0,508.95556726631776,508.95556726631776,1
0,130,658,0,0.0,1133.7751354541335,1133.7751354541335,1
