,src,dest,overlap,distance,total_border,greatest_border,nb_border
2,465736,466369,0,0.0,1291.5153340346358,1291.5153340346358,1
3,465736,466372,0,0.0,793.0179973676168,687.464802247698,2
4,465736,466768,0,0.0,3757.362000245806,3757.362000245806,1
5,465736,466771,0,0.0,2281.3737705758954,2281.3737705758954,1
6,465736,597182,0,0.0,12196.671570090788,7232.712120052709,3
0,465738,466774,0,0.0,394.5022129878247,394.5022129878247,1
1,465738,473839,0,0.0,315.48794953068375,315.48794953068375,1
2,465738,597182,0,0.0,1607.7040679037736,1255.1591426580053,2
3,465738,597301,0,0.0,287.073460981858,287.073460981858,1
0,465927,465648,0,0.0,1156.3592489682953,1156.3592489682953,1
1,465927,465650,0,0.0,135.02093837593205,135.02093837593205,1
2,465927,597183,0,0.0,4478.37126659379,3295.876364314359,3
0,465929,465682,0,0.0,1794.2986903711778,1794.2986903711778,1
1,465929,466357,0,0.0,154.1252312363667,154.1252312363667,1
2,465929,473668,0,0.0,241.92794175027944,241.92794175027944,1
3,465929,473698,0,0.0,4127.6602097042105,2732.889893796094,2
4,465929,502143,0,0.0,4504.172909756712,4504.172909756712,1
5,465929,596779,0,0.0,867.6877661297681,867.6877661297681,1
6,465929,597183,0,0.0,2067.452176299858,2067.452176299858,1
7,465929,597365,0,0.0,8804.105377244136,2886.853696052985,6
0,465930,465680,0,0.0,2923.9618167624994,2923.9618167624994,1
1,465930,597183,0,0.0,4401.788593969317,4401.788593969317,1
2,465930,597383,0,0.0,201.21961496087624,201.21961496087624,1
0,465931,465715,0,0.0,929.5323344167233,929.5323344167233,1
1,465931,473727,0,0.0,478.6908464905651,478.6908464905651,1
2,465931,488092,0,0.0,651.3340796435456,651.3340796435456,1
0,465932,465709,0,0.0,1102.6667571553437,1102.6667571553437,1
1,465932,597183,0,0.0,2826.3933147055645,2826.3933147055645,1
0,465934,464727,0,0.0,1086.5093774268273,1086.5093774268273,1
1,465934,464747,0,0.0,1129.7768374327738,1129.7768374327738,1
2,465934,465696,0,0.0,132.17227583765367,132.17227583765367,1
3,465934,465717,0,0.0,714.5593306460918,714.5593306460918,1
4,465934,465720,0,0.0,1589.9146300950847,1589.9146300950847,1
5,465934,465736,0,0.0,6267.4814465251675,5193.615517896675,2
6,465934,466763,0,0.0,729.1474212874407,729.1474212874407,1
7,465934,466770,0,0.0,2330.834791968871,2330.834791968871,1
8,465934,466771,0,0.0,417.8992357178222,417.8992357178222,1
9,465934,597182,0,0.0,5270.410788530542,3450.3580058346806,3
10,465934,597188,0,0.0,987.7993075236119,987.7993075236119,1
11,465934,597383,0,0.0,2547.3633930330193,2547.3633930330193,1
0,465940,511597,0,0.0,532.1117705829956,532.1117705829956,1
1,465940,597183,0,0.0,3849.213741773964,3849.213741773964,1
2,465940,597383,0,0.0,1030.136742119223,1030.136742119223,1
0,465992,464678,0,0.0,1429.0808450829552,1429.0808450829552,1
1,465992,465697,0,0.0,1768.59158493767,1768.59158493767,1
2,465992,465715,0,0.0,3022.92391291554,3022.92391291554,1
3,465992,465734,0,0.0,3444.434283082478,3444.434283082478,1
4,465992,466750,0,0.0,1288.3584145024613,1288.3584145024613,1
5,465992,473699,0,0.0,471.2554353005914,471.2554353005914,1
6,465992,473711,0,0.0,2249.4897990625,2249.4897990625,1
7,465992,473762,0,0.0,1311.917045683603,1311.917045683603,1
8,465992,488077,0,0.0,500.49889770129283,500.49889770129283,1
9,465992,597183,0,0.0,7002.60943177054,5267.622484505626,3
0,465993,464736,0,0.0,1273.196975633929,1273.196975633929,1
1,465993,466772,0,0.0,1065.2646837127024,1065.2646837127024,1
2,465993,597227,0,0.0,3971.5633060434584,2072.0006867410852,2
0,466268,465703,0,0.0,1280.8578701984743,1280.8578701984743,1
1,466268,597183,0,0.0,265.47789453205144,265.47789453205144,1
2,466268,597227,0,0.0,2237.041779635239,2237.041779635239,1
0,466343,473669,0,0.0,499.8365165313958,499.8365165313958,1
1,466343,597183,0,0.0,2089.431260060633,2089.431260060633,1
0,466344,512674,0,0.0,2134.9617299757374,2134.9617299757374,1
1,466344,597183,0,0.0,2028.1777555351682,2028.1777555351682,1
0,466345,597183,0,0.0,9320.996737506674,9320.996737506674,1
0,466346,597183,0,0.0,3102.028612218945,3102.028612218945,1
0,466347,597183,0,0.0,2479.8420820608912,2479.8420820608912,1
0,466348,597182,0,0.0,2357.3881785892736,2357.3881785892736,1
0,466349,465682,0,0.0,1294.701662669941,1294.701662669941,1
1,466349,473668,0,0.0,1520.5618952367902,1520.5618952367902,1
0,466350,597182,0,0.0,2544.4547037030006,2544.4547037030006,1
0,466351,466738,0,0.0,604.7478417026916,604.7478417026916,1
1,466351,512681,0,0.0,887.0491802390377,887.0491802390377,1
2,466351,597383,0,0.0,892.8651668183513,892.8651668183513,1
0,466352,473669,0,0.0,1149.6476293201183,1149.6476293201183,1
1,466352,597183,0,0.0,6298.974333243343,6298.974333243343,1
0,466353,465682,0,0.0,1327.5727364621482,1327.5727364621482,1
1,466353,502195,0,0.0,901.7940726596511,901.7940726596511,1
2,466353,597183,0,0.0,2665.6894135197276,2665.6894135197276,1
0,466354,464474,0,0.0,6967.211401986484,5415.288412887521,2
1,466354,502155,0,0.0,207.7355524442807,207.7355524442807,1
2,466354,597182,0,0.0,23557.83808036009,22120.181136413867,2
3,466354,597247,0,0.0,2164.603288505412,2164.603288505412,1
0,466355,597183,0,0.0,5822.886125851372,5822.886125851372,1
0,466356,464565,0,0.0,663.2651476446372,663.2651476446372,1
1,466356,465686,0,0.0,1141.4426305946322,1141.4426305946322,1
2,466356,465700,0,0.0,1222.9434115374029,1222.9434115374029,1
3,466356,473682,0,0.0,1086.0116884225768,1086.0116884225768,1
